baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	symbol	entrez	ENSEMBL
ENSG00000003056	1066.82714612155	-0.0743590930929738	0.0924399535065423	-0.80440426755203	0.421163537358031	0.647929427669213	M6PR	4074	ENSG00000003056
ENSG00000003096	378.604477469904	-0.942737093567565	0.142448750986194	-6.61807904274942	3.63896449960003e-11	8.89840537792821e-10	KLHL13	90293	ENSG00000003096
ENSG00000003137	104.728327363074	-0.900438078651042	0.285824101080985	-3.15032243693093	0.00163090359625958	0.00961057896253813	CYP26B1	56603	ENSG00000003137
ENSG00000003249	116.554330810006	-0.282482470849045	0.189154795166675	-1.49339312598517	0.135334311269346	0.316417244126278	DBNDD1	79007	ENSG00000003249
ENSG00000003393	852.261779505315	0.17008945039067	0.0957735745665071	1.77595386995352	0.0757405207785034	0.206963978603482	ALS2	57679	ENSG00000003393
ENSG00000003400	80.3005225152126	-0.409451943955759	0.220464870352012	-1.85722080484748	0.0632797462159562	0.181832887849722	CASP10	843	ENSG00000003400
ENSG00000003402	2549.7203640295	1.18867453888082	0.121615513694191	9.7740370679172	1.45534623599023e-22	1.13880842966235e-20	CFLAR	8837	ENSG00000003402
ENSG00000003436	4476.46791671293	-0.198368589317009	0.151301582864696	-1.31108072738673	0.189830491267516	0.397220360662489	TFPI	7035	ENSG00000003436
ENSG00000003509	291.244961341597	-0.05293239257258	0.13376892443794	-0.395700218081197	0.692326194600998	0.847476273485398	NDUFAF7	55471	ENSG00000003509
ENSG00000003756	2120.6691754204	-0.190531403699942	0.095968568024055	-1.9853521587629	0.0471053047262948	0.146375057917539	RBM5	10181	ENSG00000003756
ENSG00000003987	25.5391844964504	1.00321018142488	0.359454773438023	2.79092185041704	0.00525581606749914	0.0257481142862828	MTMR7	9108	ENSG00000003987
ENSG00000003989	38.4696457108451	0.557273272717481	0.366022574547902	1.52251066319012	0.127881175632643	0.303945110936897	SLC7A2	6542	ENSG00000003989
ENSG00000004059	1227.00114984395	0.364791724151819	0.0888234095866441	4.10693223610131	4.00948794701107e-05	0.000366950212694288	ARF5	381	ENSG00000004059
ENSG00000004139	85.0102050928438	-0.168350293502396	0.214120267370023	-0.78624174894882	0.431725871669197	0.656667333520518	SARM1	23098	ENSG00000004139
ENSG00000004142	1462.14505309325	0.14177279458772	0.087584375567046	1.61869961017411	0.10551191080374	0.264086586869205	POLDIP2	26073	ENSG00000004142
ENSG00000004399	3639.20889758689	-0.0407991140521597	0.113640166102606	-0.359020190232053	0.719579985216074	0.864047937278242	PLXND1	23129	ENSG00000004399
ENSG00000004455	1226.55505235836	0.0283454973978876	0.120189138403829	0.235840757112747	0.813556240454567	0.914367740381626	AK2	204	ENSG00000004455
ENSG00000004478	467.107603641558	-0.0752310409786967	0.112785888718555	-0.667025297521286	0.504755974664889	0.715662986188465	FKBP4	2288	ENSG00000004478
ENSG00000004487	1239.67311097307	-0.301296628003573	0.088244680359109	-3.41433190961151	0.000639386328335584	0.00429626683930409	KDM1A	23028	ENSG00000004487
ENSG00000004534	1287.25692437527	-0.189924671841129	0.0922021801051072	-2.05987181240857	0.039410797061631	0.127564005666012	RBM6	10180	ENSG00000004534
ENSG00000004660	78.2476305875162	-0.567984476987258	0.262025195086161	-2.16767123024368	0.0301837099211958	0.1040473701028	CAMKK1	84254	ENSG00000004660
ENSG00000004700	1036.7899011171	0.366805390781062	0.101768528643513	3.60431064171076	0.000312982538073678	0.00229178834238127	RECQL	5965	ENSG00000004700
ENSG00000004766	479.636118637311	-0.0320882397643386	0.111666430384395	-0.287357979062102	0.773838232773187	0.893708921051282	VPS50	55610	ENSG00000004766
ENSG00000004776	2778.72118823413	-0.0756053363002406	0.0907614389918841	-0.833011652746067	0.404838157391434	0.633222518598033	HSPB6	126393	ENSG00000004776
ENSG00000004777	97.334324427845	-0.410475135282291	0.208424532264882	-1.969418526801	0.0489050499750212	0.150473714981231	ARHGAP33	115703	ENSG00000004777
ENSG00000004779	366.214177887582	0.102628545391097	0.12615595831973	0.813505337028915	0.415928387604586	0.642978375773433	NDUFAB1	4706	ENSG00000004779
ENSG00000004799	915.54770763077	2.64316658398258	0.629091652168941	4.2015604163076	2.6508148128885e-05	0.000254937301697629	PDK4	5166	ENSG00000004799
ENSG00000004838	12.828957325243	-0.414837476854595	0.533705145725366	-0.777278390844038	0.436994541293375	0.660943685500391	ZMYND10	51364	ENSG00000004838
ENSG00000004846	18.0391866787475	-1.69860375235637	0.540053393077647	-3.14525151425565	0.0016594409771372	0.00974659720962708	ABCB5	340273	ENSG00000004846
ENSG00000004864	150.649659864439	-0.00254705938241764	0.16919085075706	-0.0150543564916223	0.987988815074005	0.994458717856457	SLC25A13	10165	ENSG00000004864
ENSG00000004866	412.813513094777	-0.563839241726545	0.134568036776518	-4.18999381452621	2.78962058850602e-05	0.000266352293017921	ST7	7982	ENSG00000004866
ENSG00000004897	1520.32054711303	0.0523983418663838	0.088721725062787	0.590592009220992	0.554793820227302	0.755539562946998	CDC27	996	ENSG00000004897
ENSG00000004961	438.085669312874	-0.148542399591302	0.131950962735037	-1.12573941494903	0.260275835067847	0.486151189733936	HCCS	3052	ENSG00000004961
ENSG00000004975	993.434017733238	-0.321842136808295	0.0978920201948224	-3.28772596752802	0.00101000098199927	0.00636193446949044	DVL2	1856	ENSG00000004975
ENSG00000005007	2265.14098272568	0.237453923692793	0.0837340207467436	2.83581179519589	0.00457093733855621	0.0228945843128441	UPF1	5976	ENSG00000005007
ENSG00000005020	756.786315409708	0.215760399583543	0.109669860341173	1.96736276413895	0.0491414039251426	0.151012007956325	SKAP2	8935	ENSG00000005020
ENSG00000005022	1120.6057047441	-0.0345491779968679	0.0949152288925896	-0.364000365378304	0.715857736538569	0.862023708345793	SLC25A5	292	ENSG00000005022
ENSG00000005059	212.061015993782	0.0853114504942209	0.152200382074687	0.560520606658905	0.575124388055042	0.769589299678783	MCUB	55013	ENSG00000005059
ENSG00000005075	819.054822467079	0.0552085197413555	0.108431212254749	0.509157083032959	0.610642122610661	0.794753469474751	POLR2J	5439	ENSG00000005075
ENSG00000005100	485.829484022387	0.35906828100338	0.131081702892779	2.73927079889318	0.00615756322085259	0.0294451252352715	DHX33	56919	ENSG00000005100
ENSG00000005108	10.5742498180634	0.553450163778602	0.55845194623243	0.99104348639561	0.321664346457418	0.552513306239722	THSD7A	221981	ENSG00000005108
ENSG00000005156	205.949335683137	-0.393873161476098	0.168335682271508	-2.33980791333843	0.0192936601595745	0.0734661268849977	LIG3	3980	ENSG00000005156
ENSG00000005175	312.710858279575	-0.22551291369767	0.135102874459093	-1.66919404639279	0.0950789296278548	0.244332553148757	RPAP3	79657	ENSG00000005175
ENSG00000005187	8.75059295688841	0.02486639756502	0.622886387419518	0.0399212409634381	0.968155916760085	0.985351620150552	ACSM3	6296	ENSG00000005187
ENSG00000005189	75.455218297484	-0.367861366108542	0.259155044896268	-1.41946442237228	0.155763662134397	0.348369557907286	REXO5	81691	ENSG00000005189
ENSG00000005194	456.022492896718	0.164564428816241	0.109455998899009	1.50347564748899	0.13271643214103	0.312161959189484	CIAPIN1	57019	ENSG00000005194
ENSG00000005206	660.135546655596	0.0630027310287463	0.10797547607515	0.583491115935408	0.55956273593132	0.758971990155821	SPPL2B	56928	ENSG00000005206
ENSG00000005238	704.304619978984	-0.184944687938577	0.108896903015619	-1.69834662710334	0.0894423592399077	0.23382691181701	ATOSB	80256	ENSG00000005238
ENSG00000005243	1018.88278342888	-0.0994082649870486	0.0930170857552548	-1.06870973413003	0.285200483945514	0.514858241925265	COPZ2	51226	ENSG00000005243
ENSG00000005249	298.473602127251	0.605599341548286	0.178759037038271	3.38779706795261	0.000704563724987229	0.00467537842070303	PRKAR2B	5577	ENSG00000005249
ENSG00000005302	462.778250187212	0.144346134897438	0.124349584214925	1.16080914792567	0.245719521964635	0.469120724256537	MSL3	10943	ENSG00000005302
ENSG00000005339	2560.82547039633	-0.103568215680974	0.102504091038967	-1.01038128948046	0.312312648589827	0.542958123523125	CREBBP	1387	ENSG00000005339
ENSG00000005379	152.423061132312	0.238837671996408	0.185038264245796	1.29074747306939	0.196791257197292	0.406294715176743	TSPOAP1	9256	ENSG00000005379
ENSG00000005436	257.589322332434	0.146438394777336	0.131455116562583	1.11398018279204	0.265287688405078	0.491701933235726	GCFC2	6936	ENSG00000005436
ENSG00000005448	232.637143665282	0.302599865258851	0.168858927760671	1.79202763674856	0.0731285391162641	0.202007028383583	WDR54	84058	ENSG00000005448
ENSG00000005469	422.702077118749	-0.243884682414875	0.133308855983866	-1.82947097261409	0.067329083941068	0.1903547676212	CROT	54677	ENSG00000005469
ENSG00000005471	33.7241299559027	-1.12340088984566	0.345485670504808	-3.25165697380212	0.00114734400179352	0.00712101759329659	ABCB4	5244	ENSG00000005471
ENSG00000005483	1699.7459990364	0.0835365405658007	0.0906523727753465	0.921504181394345	0.356787259170438	0.585960272768452	KMT2E	55904	ENSG00000005483
ENSG00000005486	851.527117138998	-0.113451893930781	0.0984888697542533	-1.1519260421392	0.249351465794015	0.473533975029671	RHBDD2	57414	ENSG00000005486
ENSG00000005700	1159.95721606999	-0.0571619811845705	0.0978357468033308	-0.584264781046517	0.559042183295455	0.758564765936096	IBTK	25998	ENSG00000005700
ENSG00000005801	210.867013132478	-0.305646162188754	0.151975128128233	-2.01115910184236	0.044308654133429	0.139727693882942	ZNF195	7748	ENSG00000005801
ENSG00000005810	2423.93042553339	-0.0237469186513301	0.093149851199941	-0.254932437845324	0.798775282021128	0.905859653573207	MYCBP2	23077	ENSG00000005810
ENSG00000005812	1411.36962523741	0.467088653895098	0.112088410847657	4.16714493820359	3.08438400712372e-05	0.000291425195843221	FBXL3	26224	ENSG00000005812
ENSG00000005882	643.244270185483	-0.0691685962776635	0.116688654694468	-0.592761965237931	0.553340465353668	0.754216635872002	PDK2	5164	ENSG00000005882
ENSG00000005884	1286.57927609312	0.346762651853255	0.127498814467059	2.7197323622397	0.00653347734240439	0.0308485497667284	ITGA3	3675	ENSG00000005884
ENSG00000005889	787.976357452099	0.0802194813548934	0.0963151343510465	0.832885526198944	0.404909293332974	0.633222518598033	ZFX	7543	ENSG00000005889
ENSG00000005893	5177.51853259566	0.0652057810096425	0.0767001719855301	0.850138654473212	0.395248003092194	0.624336017366127	LAMP2	3920	ENSG00000005893
ENSG00000005955	1430.02143975662	0.106055497893669	0.102082884432607	1.03891556829671	0.298844005249637	0.529715769189919	NA	NA	ENSG00000005955
ENSG00000005961	8.40363471763986	-0.264602663363954	0.666162056562488	-0.397204645262071	0.691216556954293	0.846743971249424	ITGA2B	3674	ENSG00000005961
ENSG00000006007	2207.23478605352	0.167148934573681	0.0866761343379198	1.92843088643092	0.0538015531426858	0.161357793963648	GDE1	51573	ENSG00000006007
ENSG00000006015	372.909799627529	-0.0435631100462682	0.136193636539411	-0.319861567347619	0.749073273279545	0.880104859371237	REX1BD	55049	ENSG00000006015
ENSG00000006016	146.457242690241	0.28650393093483	0.216853385825323	1.32118726135829	0.18643893273268	0.392988096427575	CRLF1	9244	ENSG00000006016
ENSG00000006025	160.56060657061	-0.950657726867593	0.175202241061206	-5.42605917087263	5.7611867058262e-08	9.30383012577842e-07	OSBPL7	114881	ENSG00000006025
ENSG00000006042	3091.82976706524	-0.0336239749136499	0.0803378230268392	-0.418532313259433	0.675557966204011	0.836370398288533	TMEM98	26022	ENSG00000006042
ENSG00000006062	197.178202040959	-0.699759336365168	0.193187338877403	-3.62218010989446	0.000292130601774088	0.00216023552815332	MAP3K14	9020	ENSG00000006062
ENSG00000006114	997.422653232803	-0.515050830956569	0.0960219481058039	-5.36388649800199	8.14500961147542e-08	1.27122702141024e-06	NA	NA	ENSG00000006114
ENSG00000006118	434.60345042899	-0.504284834389242	0.118461075812344	-4.25696652618694	2.07219367159081e-05	0.000205488560232925	TMEM132A	54972	ENSG00000006118
ENSG00000006125	6751.63357470504	0.0398952034217243	0.105900428027505	0.376723722130402	0.706378931814053	0.856049239178196	AP2B1	163	ENSG00000006125
ENSG00000006194	553.084257407962	0.0993823294442137	0.122128902353408	0.813749469037463	0.415788488291914	0.642877566547987	ZNF263	10127	ENSG00000006194
ENSG00000006210	9.61936654240512	1.30869610881258	0.645954827169029	2.02598704084014	0.0427661126606082	0.135755344812218	CX3CL1	6376	ENSG00000006210
ENSG00000006282	1371.77131865279	-0.110837915984053	0.0888176272848176	-1.24792700922557	0.212057788496505	0.426469022075623	SPATA20	64847	ENSG00000006282
ENSG00000006283	63.048929704114	-1.46475744549719	0.277917681751329	-5.27047230772385	1.36073155439213e-07	2.05482400954916e-06	CACNA1G	8913	ENSG00000006283
ENSG00000006327	559.679068423732	-0.258475198475718	0.209859290042299	-1.23165954875584	0.218076286362818	0.433932982300301	TNFRSF12A	51330	ENSG00000006327
ENSG00000006451	1097.1331589288	-0.559478890553511	0.117818290560281	-4.74865904006013	2.04769826666618e-06	2.49653864452254e-05	RALA	5898	ENSG00000006451
ENSG00000006453	152.138487768832	-0.210183374125364	0.162845512000145	-1.29069184372226	0.196810554028904	0.406294715176743	BAIAP2L1	55971	ENSG00000006453
ENSG00000006459	396.315086852627	-0.00958106655577543	0.185243084015216	-0.0517215884561089	0.958750535160121	0.98190793401044	KDM7A	80853	ENSG00000006459
ENSG00000006468	200.066329981157	-0.265597252371247	0.206590384322707	-1.28562252905424	0.198574830225626	0.408516455823871	ETV1	2115	ENSG00000006468
ENSG00000006530	309.616562429683	0.00251431876170817	0.124099256564628	0.020260546527922	0.983835528631131	0.992192655265667	AGK	55750	ENSG00000006530
ENSG00000006534	1143.98945942452	0.447471036181685	0.117563123857757	3.80621934411248	0.000141107249792073	0.00113005677760457	ALDH3B1	221	ENSG00000006534
ENSG00000006576	1072.23600242928	-0.431972508274395	0.0972816997496867	-4.44042928306036	8.97796042579819e-06	9.58187158897185e-05	PHTF2	57157	ENSG00000006576
ENSG00000006607	879.190894121852	0.596179657606303	0.115717118749493	5.1520437429567	2.57662913472042e-07	3.70565334621654e-06	FARP2	9855	ENSG00000006607
ENSG00000006625	194.468065777682	-0.164710375775317	0.156892114596388	-1.04983208492691	0.293795320910457	0.524347954665885	GGCT	79017	ENSG00000006625
ENSG00000006634	85.5963984216707	-0.360219000700891	0.202184806341732	-1.78163239473124	0.0748091981035322	0.205298955101595	DBF4	10926	ENSG00000006634
ENSG00000006638	65.8643267010733	-0.646154776948968	0.234599321142111	-2.75429090673947	0.00588194607589259	0.0283331005034572	TBXA2R	6915	ENSG00000006638
ENSG00000006652	1076.04749266629	-0.0453845394755521	0.0950259516642651	-0.477601525485371	0.632933844917336	0.81051024957469	IFRD1	3475	ENSG00000006652
ENSG00000006695	184.481557694212	0.222957373714251	0.162875337760679	1.36888356935814	0.171035672537189	0.3719900888988	COX10	1352	ENSG00000006695
ENSG00000006704	281.455859787228	-0.225429550610654	0.149862439549862	-1.50424316651838	0.132518766802061	0.311910113549013	GTF2IRD1	9569	ENSG00000006704
ENSG00000006712	1102.92362429155	-0.204104824626186	0.10165822378468	-2.00775517245408	0.0446693145591642	0.140542837137512	PAF1	54623	ENSG00000006712
ENSG00000006715	2219.26055756883	-0.0647343652271733	0.0871562638808078	-0.742739102673125	0.457639650883925	0.677642060034988	VPS41	27072	ENSG00000006715
ENSG00000006740	35.6391272614609	-0.0499543721160635	0.310307879539628	-0.160983253761315	0.872106590168728	0.941155651313607	ARHGAP44	9912	ENSG00000006740
ENSG00000006744	925.142885858992	0.163031322482338	0.106529851401915	1.53038158165879	0.125922305275091	0.300676214138203	ELAC2	60528	ENSG00000006744
ENSG00000006756	439.304413932814	-0.0062416173173807	0.129942686405593	-0.0480336176666271	0.961689450495251	0.983043684736301	ARSD	414	ENSG00000006756
ENSG00000006757	148.222448667804	0.0142197892424356	0.179692090963123	0.0791341965370854	0.936925883887417	0.971475812955366	PNPLA4	8228	ENSG00000006757
ENSG00000006788	10.2580608903494	3.188259218074	0.877890990142906	3.63172564005356	0.000281532345426902	0.00208904281315694	MYH13	8735	ENSG00000006788
ENSG00000006831	1095.55226049967	0.240433119973698	0.0933650670424344	2.57519356639482	0.0100184002520805	0.0436183005411145	ADIPOR2	79602	ENSG00000006831
ENSG00000006837	11.6762978770039	-0.744330566853851	0.530172083259076	-1.40394145666497	0.160336283334264	0.356153434528948	CDKL3	51265	ENSG00000006837
ENSG00000007047	782.669455953774	0.0887066275041142	0.102949388919077	0.861652783328725	0.388878615621073	0.618005067748615	MARK4	57787	ENSG00000007047
ENSG00000007080	650.349850607193	0.238951668073507	0.113768181192979	2.10033829817659	0.0356990925538933	0.118185462448367	CCDC124	115098	ENSG00000007080
ENSG00000007168	3295.18607528798	0.105199674742747	0.0775776126359048	1.35605712999292	0.175080991521794	0.377412881173013	PAFAH1B1	5048	ENSG00000007168
ENSG00000007202	4259.85677541726	-0.00825689026024596	0.0889218988037028	-0.0928555324540836	0.926018333016635	0.967054479711253	BLTP2	9703	ENSG00000007202
ENSG00000007237	427.794288994372	-1.40603297155593	0.18848006254123	-7.45984987801221	8.66211162784523e-14	3.00036723688844e-12	GAS7	8522	ENSG00000007237
ENSG00000007255	129.146067260531	0.257215381986784	0.209845499739553	1.22573694601992	0.220297682090184	0.43671402547012	TRAPPC6A	79090	ENSG00000007255
ENSG00000007341	154.241815440653	0.12410255809578	0.182662549245788	0.679408880518738	0.496878824590902	0.709856345670737	ST7L	54879	ENSG00000007341
ENSG00000007372	32.2593715443376	0.302349055266568	0.325081835349582	0.930070592659944	0.352334535557497	0.582543126164263	PAX6	5080	ENSG00000007372
ENSG00000007376	251.326753813806	0.106412594582014	0.134898662709096	0.788833576589922	0.430209282211927	0.655122601099926	RPUSD1	113000	ENSG00000007376
ENSG00000007384	1830.05726379364	0.061706182490842	0.0989605279880749	0.623543383865917	0.532927502182148	0.738021635432843	RHBDF1	64285	ENSG00000007384
ENSG00000007392	670.425813822335	-0.175211189651722	0.101653959730638	-1.72360417750567	0.0847793238786404	0.224915404618708	LUC7L	55692	ENSG00000007392
ENSG00000007402	17.9382009562196	0.343922875480445	0.504419970249846	0.681818515849196	0.495353714748443	0.708748474622348	CACNA2D2	9254	ENSG00000007402
ENSG00000007516	8.16404589528719	0.362237936856961	0.617472259569916	0.586646495033264	0.557441149198706	0.757646406399472	BAIAP3	8938	ENSG00000007516
ENSG00000007520	452.580926149333	0.102539122207948	0.12488193877096	0.821088487391357	0.411595867171323	0.63974923256104	TSR3	115939	ENSG00000007520
ENSG00000007541	647.925315396916	0.160858619851915	0.12843596079142	1.25244221992584	0.210408770111306	0.424243028515594	PIGQ	9091	ENSG00000007541
ENSG00000007545	211.052021872263	0.0915382499938935	0.145581772954804	0.628775485666821	0.529496051173223	0.735102783947342	CRAMP1	57585	ENSG00000007545
ENSG00000007866	1621.71295525375	0.593845448548789	0.0864544125019576	6.86888536239076	6.47054754940018e-12	1.7373278949167e-10	TEAD3	7005	ENSG00000007866
ENSG00000007923	615.018172670951	0.0305473191005351	0.102051293366946	0.299332993171345	0.76468598304593	0.889043641394995	DNAJC11	55735	ENSG00000007923
ENSG00000007933	860.735525376538	0.243808661382599	0.113441684282889	2.14919817987376	0.0316186935142554	0.107849377619954	FMO3	2328	ENSG00000007933
ENSG00000007944	340.180913290744	-0.499402067425753	0.122208030994518	-4.08649139800112	4.37945715393326e-05	0.000395968250551266	MYLIP	29116	ENSG00000007944
ENSG00000007952	9.82170070281112	0.632863267068064	0.567634893274321	1.11491255130121	0.264887897594701	0.491429774779313	NOX1	27035	ENSG00000007952
ENSG00000008018	1522.45930771819	0.041637112494575	0.0848029501617651	0.490986603828646	0.623435922396336	0.804018966782737	PSMB1	5689	ENSG00000008018
ENSG00000008056	18.0790109947871	0.70115032040345	0.455818837035965	1.53822146746456	0.123994473768238	0.297496824575695	SYN1	6853	ENSG00000008056
ENSG00000008083	301.648707932351	0.439803763895642	0.143872503855873	3.05689935261171	0.00223639354266355	0.0125487336495935	JARID2	3720	ENSG00000008083
ENSG00000008086	102.625902150596	-0.241773867328475	0.228792888642809	-1.05673681014593	0.290631720363505	0.520681139146398	CDKL5	6792	ENSG00000008086
ENSG00000008128	22.3407544157079	-0.208971958356594	0.381176613388734	-0.548228697712572	0.583534879397578	0.775263225494521	CDK11A	728642	ENSG00000008128
ENSG00000008130	1666.68783580642	0.774409926136448	0.125257652489237	6.18253584309341	6.30799822792084e-10	1.35570773400321e-08	NADK	65220	ENSG00000008130
ENSG00000008256	3721.27131047695	1.18160010497573	0.104185995677836	11.3412565411331	8.19591120394873e-30	1.04513045463687e-27	CYTH3	9265	ENSG00000008256
ENSG00000008277	18.0960112832282	-0.283715975761245	0.42090816119633	-0.67405672286052	0.500275252071369	0.712520763167751	ADAM22	53616	ENSG00000008277
ENSG00000008282	1967.5208677727	0.278103056536077	0.107578138680409	2.58512612271775	0.0097343382167637	0.0425839861609663	SYPL1	6856	ENSG00000008282
ENSG00000008283	521.845547747597	0.00590398660785002	0.110718099255769	0.0533244938951784	0.957473364655792	0.981125236461277	CYB561	1534	ENSG00000008283
ENSG00000008294	2906.84180376519	-0.0329317078217677	0.0801173502057201	-0.411043397431491	0.681040713287078	0.840050597693407	SPAG9	9043	ENSG00000008294
ENSG00000008300	87.4309794861474	0.262033031701383	0.210065865863156	1.24738510288045	0.212256326200886	0.426796955815314	CELSR3	1951	ENSG00000008300
ENSG00000008311	722.867786513884	1.09392939463837	0.107623503082412	10.1644098482904	2.8584780564803e-24	2.58993156538465e-22	AASS	10157	ENSG00000008311
ENSG00000008323	7.72575405594157	0.502881154769835	0.645177826674791	0.779445811648016	0.435717146506716	0.659939352200697	PLEKHG6	55200	ENSG00000008323
ENSG00000008324	121.984457873057	0.536408857768464	0.209581736375063	2.55942558281185	0.0104845300579607	0.0451792703248542	SS18L2	51188	ENSG00000008324
ENSG00000008382	82.5740038999737	0.0616186477498947	0.208076061493643	0.296135207998337	0.767126827088218	0.890368858441404	MPND	84954	ENSG00000008382
ENSG00000008394	3594.57602952196	0.10375163111263	0.0945919691789134	1.09683339942307	0.272714226962575	0.501364311956507	MGST1	4257	ENSG00000008394
ENSG00000008405	268.448906537752	0.0870536457888338	0.158524497208091	0.54914948365716	0.582902868677287	0.774839411525503	CRY1	1407	ENSG00000008405
ENSG00000008441	10818.8001168327	-0.32818720658623	0.071304245100594	-4.60263208906051	4.17184808596161e-06	4.79428336447458e-05	NFIX	4784	ENSG00000008441
ENSG00000008513	1570.74791531084	-0.596975720049779	0.0975612562166993	-6.11898353096028	9.41741357768424e-10	1.98434240807631e-08	ST3GAL1	6482	ENSG00000008513
ENSG00000008517	182.986328632311	-0.751433592287478	0.188334493160386	-3.98988830817918	6.61044161780179e-05	0.00057561331537915	IL32	9235	ENSG00000008517
ENSG00000008710	5433.50397597405	0.478591594773235	0.13028543400104	3.67340830111074	0.000239336590781276	0.00181505700894259	PKD1	5310	ENSG00000008710
ENSG00000008735	17.3773355145261	0.375596684846842	0.459824400855715	0.816826345335028	0.414027674255989	0.641653440071737	MAPK8IP2	23542	ENSG00000008735
ENSG00000008838	1152.98221970198	-0.0275041015942109	0.0954283897489906	-0.288217182188195	0.773180497101742	0.893583837040282	MED24	9862	ENSG00000008838
ENSG00000008853	559.278566989724	0.545903131431634	0.11875970979146	4.59670314444376	4.29228473251404e-06	4.92283022453226e-05	RHOBTB2	23221	ENSG00000008853
ENSG00000008869	709.082495453375	0.0402657776300915	0.0976208263484648	0.412471181982826	0.67999409894106	0.83950791833551	HEATR5B	54497	ENSG00000008869
ENSG00000008952	5089.11387280352	0.171387461007148	0.082230168651599	2.08424066030193	0.0371382819403918	0.121894284767177	SEC62	7095	ENSG00000008952
